"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/29/2016","AQS","040139997","1","0.028","ppm","26","JLG SUPERSITE","17","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/30/2016","AQS","040139997","1","0.033","ppm","31","JLG SUPERSITE","17","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/31/2016","AQS","040139997","1","0.038","ppm","35","JLG SUPERSITE","17","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"02/01/2016","AQS","040139997","1","0.036","ppm","33","JLG SUPERSITE","17","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"02/02/2016","AQS","040139997","1","0.037","ppm","34","JLG SUPERSITE","17","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"02/03/2016","AQS","040139997","1","0.033","ppm","31","JLG SUPERSITE","17","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"02/04/2016","AQS","040139997","1","0.033","ppm","31","JLG SUPERSITE","17","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"02/05/2016","AQS","040139997","1","0.038","ppm","35","JLG SUPERSITE","17","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"02/06/2016","AQS","040139997","1","0.042","ppm","39","JLG SUPERSITE","17","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"02/07/2016","AQS","040139997","1","0.037","ppm","34","JLG SUPERSITE","17","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"02/08/2016","AQS","040139997","1","0.039","ppm","36","JLG SUPERSITE","17","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"02/09/2016","AQS","040139997","1","0.041","ppm","38","JLG SUPERSITE","17","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"02/10/2016","AQS","040139997","1","0.037","ppm","34","JLG SUPERSITE","17","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"02/11/2016","AQS","040139997","1","0.034","ppm","31","JLG SUPERSITE","17","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"02/12/2016","AQS","040139997","1","0.035","ppm","32","JLG SUPERSITE","17","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
